jobid,duration,status,remark,grade1,grade2,grade,type,stdout,pid,homework,list
9941,210,completed,,100,100,100,covtype,"10 {'test': 0.11766297308965319, 'train': 0.11080883995806397}
",A53097652,5,cleared
9949,295,completed,,100,100,100,covtype,"13 {'test': 0.095190674917254275, 'train': 0.07883138916783497}
",A53104332,5,cleared
9950,194,completed,,100,100,100,covtype,"12 {'test': 0.11047344941718233, 'train': 0.098967067448752361} 193 seconds
",A10288913,5,cleared
9951,173,completed,,100,100,100,covtype,"13 {'test': 0.11645992229097712, 'train': 0.10307719126807387} 173 seconds
",A53091187,5,cleared
9955,197,completed,,100,100,100,covtype,"15 {'test': 0.095121600230248959, 'train': 0.074809655108068751}
",A53090014,5,cleared
9961,,completed,,100,100,100,covtype,,A53097966,5,cleared
9967,284,completed,,100,100,100,covtype,"12 {'test': 0.10290977119009929, 'train': 0.089258925524261762}
",A53104364,5,cleared
9968,316,completed,,100,100,100,covtype,"10 {'test': 0.11557346380774212, 'train': 0.10780358813318372}
",A53092295,5,cleared
9973,200,completed,,100,100,100,covtype,"Sizes: Data1=581012, trainingData=407287, testData=173725
15 {'test': 0.08767304648150813, 'train': 0.066834934579301578}
",A53089795,5,cleared
9974,202,completed,,100,100,100,covtype,"15 {'test': 0.086429702115412288, 'train': 0.065354406106750279}
",A53096479,5,cleared
9975,191,completed,,100,100,100,covtype,"15 {'test': 0.094379047344941722, 'train': 0.07417373989349034}
",A53102223,5,cleared
9977,196,completed,,100,100,100,covtype,"15 {'test': 0.093101165635343208, 'train': 0.071988548615595394}
",A53093242,5,cleared
9978,275,completed,,100,100,100,covtype,"10 {'test': 0.11080155418045762, 'train': 0.10357315603002305}
",A53097552,5,cleared
9979,182,completed,,100,100,100,covtype,"Number of trees =  10   Depth =  13   {'test': 0.1080673478198302, 'train': 0.095443753422034094}
",A53043486,5,cleared
9992,175,completed,,100,100,100,covtype,"13 {'test': 0.11580371276442654, 'train': 0.10368118795836842}
",A53101356,5,cleared
9997,139,completed,,100,100,100,covtype,"15 {'test': 0.11103755936105915, 'train': 0.09975029892925627} 138 seconds
",A53100492,5,cleared
10004,233,completed,,100,100,100,covtype,"15 {'test': 0.093302633472442081, 'train': 0.072595000576988714}
",A53090311,5,cleared
10008,171,completed,,100,100,100,covtype,"13 {'test': 0.11320189955389265, 'train': 0.099860786128700404}
",A53101820,5,cleared
10009,126,completed,,100,100,100,covtype,"12 {'test': 0.12865160454741689, 'train': 0.11937282555053316}
",A53103630,5,cleared
10021,211,completed,,100,100,100,covtype,"10 {'test': 0.10305943301194416, 'train': 0.09443463700044441}
",A53099577,5,cleared
10023,201,completed,,100,100,100,covtype,"14 {'test': 0.10209814361778673, 'train': 0.085634945382494401}
",A53096254,5,cleared
10026,120,completed,,100,100,100,covtype,"15 {'test': 0.11746726147647144, 'train': 0.10721186779838296}
",A09229555,5,cleared
10028,168,completed,,100,100,100,covtype,"14 {'test': 0.099329282274707636, 'train': 0.082730734039727277}
",A53092651,5,cleared
10031,312,completed,,100,100,100,covtype,"9 {'test': 0.12285508706288675, 'train': 0.11634056574356658}
",A53101232,5,cleared
10032,198,completed,,100,100,100,covtype,"15 {'test': 0.092093826449848898, 'train': 0.071625168492979147}
",A53101879,5,cleared
10036,302,completed,Higgs cannot finish in time limit and test accuracy >> 27.5,100,50,75,covtype,"10 {'test': 0.11308101885163332, 'train': 0.10523782983498123} 302 seconds
",A53102484,5,cleared
10045,271,completed,,100,100,100,covtype,"12 {'test': 0.1106835815238303, 'train': 0.095906705825970481}
",A53104557,5,cleared
10052,321,completed,,100,100,100,covtype,"11 {'test': 0.10697942149949632, 'train': 0.0978793823520024}
",A53097553,5,cleared
10075,0,completed,,100,100,100,covtype,,A53044451,5,cleared
10077,244,completed,,100,100,100,covtype,"15 {'test': 0.065595154635620781, 'train': 0.033204747045381948}
",A53091621,5,cleared
10083,156,completed,,100,100,100,covtype,"10 {'test': 0.080886458483235002, 'train': 0.064222526130222668}
",A53068123,5,cleared
10110,249,completed,,100,100,100,covtype,"16 {'test': 0.08352280903727155, 'train': 0.05874236103779399}
",A53048537,5,cleared
10116,357,time limit exceeded,Covtype cannot finish in time limit. Higgs cannot finish in time limit,90,90,90,covtype,,A53087777,5,cleared
10125,174,completed,,100,100,100,covtype,"15 {'test': 0.088812778817095983, 'train': 0.067591158077719149}
",A53087000,5,cleared
10139,322,completed,test error =13.1 > 13,90,100,95,covtype,"8 {'test': 0.13171309881359247, 'train': 0.12810834704452248}
",A53093725,5,cleared
10142,230,completed,,100,100,100,higgs,"10 {'test': 0.26870715252940497, 'train': 0.23972538690522574}
",A10726357,5,cleared
10167,196,completed,,100,100,100,covtype,"Gradient Boosted Trees
15 {'test': 0.090419288532117975, 'train': 0.069111303059609858} 195 seconds
",A53104678,5,cleared
10176,273,completed,,100,100,100,covtype,"13 {'test': 0.093112678083177441, 'train': 0.078627601666638028}
",A53053719,5,cleared
10190,250,completed,,100,100,100,covtype,"11 {'test': 0.10533889768311987, 'train': 0.095988823605958451}
",A53102476,5,cleared
10196,91,completed,,100,100,100,covtype,"10 {'test': 0.11658655921715355, 'train': 0.10697125123070464}
",A53095668,5,cleared
10207,247,completed,,100,100,100,covtype,"15 {'test': 0.081634767592459342, 'train': 0.059660632428729619}
",A53102894,5,cleared
10215,193,completed,,100,100,100,covtype,"{15: {'test': 0.089155920954425927, 'train': 0.067285428454848903}}
",A53102323,5,cleared
10217,293,completed,,100,100,100,covtype,"12 {'test': 0.10307094545977838, 'train': 0.090798380503183257}
",A53103006,5,cleared
10224,296,completed,,100,100,100,higgs,"10 {'test': 0.26905934431604961, 'train': 0.24039425629516492}
",A53088789,5,cleared
10226,275,completed,,100,100,100,covtype,"13 {'test': 0.10379047344941718, 'train': 0.0894160628745823}
",A53093655,5,cleared
10229,276,completed,,100,100,100,covtype,"15 {'test': 0.09033242193121313, 'train': 0.069005394230603978} 276 seconds
",A53096505,5,cleared
10231,91,completed,,100,100,100,covtype,"10 {'test': 0.10975967765146064, 'train': 0.10004002091890976}
",A53095669,5,cleared
10232,234,completed,,100,100,100,covtype,"15 {'test': 0.090994387681680819, 'train': 0.070353338063822324}
",A53095324,5,cleared
