Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1962-01-02,578.5,578.5,572.0,572.0,5162.66666667,0.0,1.0,5.18098892056,5.18098892056,5.12277556191,5.12277556191,387200.0
1962-01-03,572.0,577.0,572.0,577.0,3840.0,0.0,1.0,5.12277556191,5.16755506857,5.12277556191,5.16755506857,288000.0
1962-01-04,577.0,577.0,571.0,571.25,3413.33333333,0.0,1.0,5.16755506857,5.16755506857,5.11381966057,5.11605863591,256000.0
1962-01-05,570.5,570.5,559.0,560.0,4842.66666667,0.0,1.0,5.10934170991,5.10934170991,5.00634884459,5.01530474592,363200.0
1962-01-08,559.5,559.5,545.0,549.5,7253.33333333,0.0,1.0,5.01082679526,5.01082679526,4.88096622594,4.92126778194,544000.0
1962-01-09,552.0,563.0,552.0,556.0,6549.33333333,0.0,1.0,4.94365753527,5.04217244992,4.94365753527,4.97948114059,491200.0
1962-01-10,557.0,559.5,557.0,557.0,3989.33333333,0.0,1.0,4.98843704193,5.01082679526,4.98843704193,4.98843704193,299200.0
1962-01-11,558.5,563.0,558.5,563.0,4202.66666667,0.0,1.0,5.00187089392,5.04217244992,5.00187089392,5.04217244992,315200.0
1962-01-12,564.0,568.0,564.0,564.0,5802.66666667,0.0,1.0,5.05112835125,5.08695195658,5.05112835125,5.05112835125,435200.0
1962-01-15,566.0,567.75,566.0,566.5,3349.33333333,0.0,1.0,5.06904015391,5.08471298125,5.06904015391,5.07351810458,251200.0
1962-01-16,566.0,566.0,560.5,560.5,3349.33333333,0.0,1.0,5.06904015391,5.06904015391,5.01978269659,5.01978269659,251200.0
1962-01-17,558.0,558.0,550.0,551.5,5589.33333333,0.0,1.0,4.99739294326,4.99739294326,4.9257457326,4.9391795846,419200.0
1962-01-18,553.0,558.5,553.0,553.0,4949.33333333,0.0,1.0,4.9526134366,5.00187089392,4.9526134366,4.9526134366,371200.0
1962-01-19,553.0,554.5,547.0,553.5,5333.33333333,0.0,1.0,4.9526134366,4.9660472886,4.89887802861,4.95709138726,400000.0
1962-01-22,553.5,559.0,552.0,552.5,3669.33333333,0.0,1.0,4.95709138726,5.00634884459,4.94365753527,4.94813548593,275200.0
1962-01-23,552.25,553.0,546.0,547.0,4949.33333333,0.0,1.0,4.9458965106,4.9526134366,4.88992212727,4.89887802861,371200.0
1962-01-24,547.0,550.0,544.25,550.0,5440.0,0.0,1.0,4.89887802861,4.9257457326,4.87424929994,4.9257457326,408000.0
1962-01-25,550.0,554.5,543.0,544.0,4202.66666667,0.0,1.0,4.9257457326,4.9660472886,4.86305442328,4.87201032461,315200.0
1962-01-26,544.0,546.0,541.0,541.25,3242.66666667,0.0,1.0,4.87201032461,4.88992212727,4.84514262061,4.84738159595,243200.0
1962-01-29,541.25,545.0,532.0,532.0,7722.66666667,0.0,1.0,4.84738159595,4.88096622594,4.76453950863,4.76453950863,579200.0
